sample-id	absolute_filepath	direction	col_id	sample_seq_id	treatment	berry_status	treat_one	treat_two	variety	period	replicate	col_date	seq_date	index1_i7	index2_i5	project_name	plate	conc	norm	pool	country	state	county	locality	property	owner	lat	lon
vBT23	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBT23_S69_L001_R1_001.fastq.gz	forward	vBT23	its57	BT	healthy	Net	MMax	vidalblanc	2	3	9/16/2022	6/14/2023	N711	S507	GP22_GSR	1	456.2	456.2	4.6	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT23	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbT23_S93_L001_R1_001.fastq.gz	forward	vbT23	its60	bT	healthy	NNet	MMax	vidalblanc	2	3	9/16/2022	6/14/2023	N715	S507	GP22_GSR	1	685.7	520	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT31	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbT31_S32_L001_R1_001.fastq.gz	forward	vbT31	its88	bT	healthy	NNet	MMax	vidalblanc	3	1	10/7/2022	6/14/2023	N704	S511	GP22_GSR	1	1180.4	472	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt31	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBt31_S56_L001_R1_001.fastq.gz	forward	vBt31	its91	Bt	healthy	Net	NMax	vidalblanc	3	1	10/7/2022	6/14/2023	N707	S511	GP22_GSR	1	1004.2	480	4.4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt31	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbt31_S80_L001_R1_001.fastq.gz	forward	vbt31	its94	bt	healthy	NNet	NMax	vidalblanc	3	1	10/7/2022	6/14/2023	N712	S511	GP22_GSR	1	1239.9	552	3.8	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT31	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBT31_S8_L001_R1_001.fastq.gz	forward	vBT31	its85	BT	healthy	Net	MMax	vidalblanc	3	1	10/7/2022	6/14/2023	N701	S511	GP22_GSR	1	1216.8	467	4.5	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBT32	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBT32_S16_L001_R1_001.fastq.gz	forward	vBT32	its86	BT	healthy	Net	MMax	vidalblanc	3	2	10/7/2022	6/14/2023	N702	S511	GP22_GSR	1	1231.9	536	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbT32	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbT32_S40_L001_R1_001.fastq.gz	forward	vbT32	its89	bT	healthy	NNet	MMax	vidalblanc	3	2	10/7/2022	6/14/2023	N705	S511	GP22_GSR	1	1217	538	3.9	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vBt32	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vBt32_S64_L001_R1_001.fastq.gz	forward	vBt32	its92	Bt	healthy	Net	NMax	vidalblanc	3	2	10/7/2022	6/14/2023	N710	S511	GP22_GSR	1	1020.1	523	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
vbt32	/home/jblaise/scratch/gsr_raw_data/fastqs/2022/its/vbt32_S88_L001_R1_001.fastq.gz	forward	vbt32	its95	bt	healthy	NNet	NMax	vidalblanc	3	2	10/7/2022	6/14/2023	N714	S511	GP22_GSR	1	1305.9	526	4	USA	Maryland	Queen Anne	Hemsley Fortune Lane	winery	Wick Dudley	38.997394	-76.134463
