fung_name,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc,cabfranc
Unclassified Fimbriimonadaceae,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0
Undibacterium oligocarboniphilum,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kocuria sp,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0
Bacillus sp,0,0,0,0,0,0,0,0,31,69,0,111,1,0,63,0,0,218,194,0,103,0,0,110,0,230,18,0,0,0,0,0,193,58,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,54,0,0,0,0,0,0,0,0,0,371,10,0,0,1458,0,0,115,0,0,31,79,0
Unclassified Microbacteriaceae,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,29,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aerococcus sp,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,2,0,38,0,0,0,0,0,0,422,0,0,0,0,193,0,0,0,0,0,129,0,27,0,0
Unclassified Thermomicrobiales,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moorella thermoacetica,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0
Haemophilus sp,0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0
Sphingobium yanoikuyae,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter sp,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0,0,0,0
Anaerococcus nagyae,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,8,0,0,0,0,0
Tumebacillus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,75,88,0,15,0,0,0,0,0,36,0,0,0,0,0,217,0,0,44,0,18,0,0,3,58,96,0,320,0,0,0,0,0,0,0,0,0,0,224,0,0,0,118,0,0,0,0,0,0,0,138,0,0,0,0,0,117,0,92
Weizmannia sp,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
